URL,Name,Price,Rating,No_of_reviews,Asin
amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679352963&sprefix=ba%2Caps%2C283&sr=8-16,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)","1,273",3.9,715,B09B25Z8M2
,,,,,
amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679352963&sprefix=ba%2Caps%2C283&sr=8-17,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,4,31,B0BPVLXD53
,,,,,
amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679352963&sprefix=ba%2Caps%2C283&sr=8-18,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4,"5,646",B07F3X45WZ
,,,,,
amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679352963&sprefix=ba%2Caps%2C283&sr=8-19,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,131",4.3,"5,161",B075MK4TXP
,,,,,
amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679352963&sprefix=ba%2Caps%2C283&sr=8-20,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,4.3,"12,341",B07PLKV6D1
,,,,,
